Date,Open,High,Low,Close,Volume,Adj Close
2015-07-10,68.90,68.98,68.00,68.78,1052200,67.8096
2015-07-09,67.19,67.89,67.02,67.56,1067500,66.6068
2015-07-08,67.00,67.43,66.68,66.99,997900,66.0448
2015-07-07,69.10,69.18,66.63,66.80,1822200,65.8575
2015-07-06,68.04,69.69,67.96,69.12,910300,68.1448
2015-07-03,70.10,70.33,69.15,69.55,655200,68.5687
2015-07-02,70.30,70.80,70.24,70.44,733200,69.4461
2015-07-01,70.11,71.20,69.35,70.41,1871800,69.4166
2015-06-30,68.99,69.40,68.36,68.65,1530200,67.6814
2015-06-29,67.60,70.41,67.50,69.37,1490200,68.3912
2015-06-26,70.37,70.96,69.79,70.44,815800,69.4461
2015-06-25,70.68,71.38,70.30,70.99,843500,69.9884
2015-06-24,70.90,71.38,70.37,70.97,1099200,69.9687
2015-06-23,71.20,71.39,70.65,70.93,976500,69.9292
2015-06-22,70.00,70.77,69.76,70.57,1529600,69.5743
2015-06-19,70.17,70.44,68.57,68.85,2250100,67.8786
2015-06-18,68.72,70.10,67.84,70.03,1135800,69.0419
2015-06-17,69.68,69.97,68.34,68.98,883100,68.0067
2015-06-16,69.00,69.87,68.17,69.58,1082100,68.5983
2015-06-15,69.40,69.68,68.82,69.12,1178300,68.1448
2015-06-12,71.95,71.95,69.64,70.14,1442500,69.1504
2015-06-11,71.18,72.78,71.15,71.97,1177400,70.9545
2015-06-10,69.20,71.24,69.18,71.09,1181800,70.087
2015-06-09,70.00,70.20,68.77,69.25,1156100,68.2729
2015-06-08,70.10,70.93,69.04,70.06,1526500,69.0715
2015-06-05,70.60,71.09,69.80,70.15,1137800,69.1602
2015-06-04,71.91,72.19,70.58,71.27,976000,70.2644
2015-06-03,71.53,72.63,71.13,72.09,1110000,71.0729
2015-06-02,71.99,72.10,70.51,71.23,1009900,70.225
2015-06-01,71.53,71.98,71.18,71.68,667700,70.6686
2015-05-29,72.95,73.28,71.21,71.53,1404200,70.5208
2015-05-28,73.34,73.49,72.30,72.96,1141700,71.9306
2015-05-27,73.98,74.28,73.26,73.76,1031900,72.7193
2015-05-26,74.95,75.91,73.58,73.68,1009000,72.6404
2015-05-25,75.20,75.20,75.20,75.20,000,74.139
2015-05-22,75.71,75.80,74.50,75.20,744900,74.139
2015-05-21,76.40,76.49,75.54,75.71,590600,74.6418
2015-05-20,76.23,76.44,75.29,76.33,723400,75.253
2015-05-19,75.70,76.54,75.54,76.31,889900,75.2333
2015-05-18,74.52,75.49,74.00,75.37,871100,74.3066
2015-05-15,74.95,75.21,73.91,74.40,916900,73.3503
2015-05-14,73.10,74.98,72.70,74.75,598700,73.6953
2015-05-13,74.28,74.48,73.18,73.48,684800,72.4432
2015-05-12,73.60,74.12,72.53,73.84,1030100,72.7982
2015-05-11,73.73,74.14,73.31,74.02,671600,72.9756
2015-05-08,72.88,73.88,72.02,73.74,1062100,72.6996
2015-05-07,73.30,73.51,71.11,73.21,1536300,70.6982
2015-05-06,73.89,74.53,72.89,73.31,855900,70.7948
2015-05-05,77.01,78.05,73.80,73.88,2119400,71.3452
2015-05-04,74.02,76.03,73.56,75.58,1221900,72.9869
2015-05-01,73.42,73.42,73.42,73.42,000,70.901
2015-04-30,73.45,74.08,72.87,73.42,1148300,70.901
2015-04-29,76.33,76.88,73.30,73.38,1479500,70.8624
2015-04-28,76.56,76.92,75.84,76.27,1165100,73.6532
2015-04-27,74.55,76.51,74.01,76.51,987900,73.885
2015-04-24,73.51,75.03,73.51,74.41,887700,71.8571
2015-04-23,74.34,74.79,72.95,73.25,1257200,70.7368
2015-04-22,75.50,76.25,74.14,74.42,979900,71.8667
2015-04-21,75.00,76.31,74.77,75.63,1073100,73.0352
2015-04-20,73.28,74.84,73.24,74.75,829100,72.1854
2015-04-17,75.75,76.37,73.17,73.35,1527700,70.8334
2015-04-16,76.26,77.26,75.53,76.03,1108600,73.4215
2015-04-15,75.90,76.91,75.38,76.26,1101500,73.6436
2015-04-14,76.30,76.71,75.82,76.12,845500,73.5084
2015-04-13,76.88,77.25,76.49,76.72,766600,74.0878
2015-04-10,76.00,77.23,75.99,77.21,1051600,74.561
2015-04-09,75.00,76.00,74.91,75.82,1017900,73.2187
2015-04-08,74.49,75.00,74.18,75.00,825400,72.4268
2015-04-07,74.40,74.97,74.04,74.55,1085900,71.9922
2015-04-06,74.32,74.32,74.32,74.32,000,71.7701
2015-04-03,74.32,74.32,74.32,74.32,000,71.7701
2015-04-02,73.65,74.60,73.36,74.32,920000,71.7701
2015-04-01,73.10,74.13,72.67,73.93,1369600,71.3935
2015-03-31,73.44,74.17,73.26,73.69,1352800,71.1618
2015-03-30,73.16,74.28,73.01,73.80,1207500,71.268
2015-03-27,72.74,75.10,72.22,72.97,3436500,70.4665
2015-03-26,70.35,71.23,68.68,71.01,2108500,68.5737
2015-03-25,70.81,71.04,70.19,70.43,1210900,68.0136
2015-03-24,68.80,71.35,68.73,71.16,1389400,68.7186
2015-03-23,69.92,69.92,66.80,69.27,2128700,66.8934
2015-03-20,70.85,71.06,70.28,70.30,2186100,67.8881
2015-03-19,70.77,71.76,70.18,70.65,1266600,68.2261
2015-03-18,71.50,71.66,70.54,71.00,918500,68.564
2015-03-17,72.03,72.15,70.97,71.48,1024600,69.0276
2015-03-16,70.99,72.69,70.90,72.24,1154600,69.7615
2015-03-13,71.66,71.71,70.54,70.86,912300,68.4288
2015-03-12,71.47,71.99,70.95,71.24,988900,68.7958
2015-03-11,70.64,71.78,70.50,71.36,1505100,68.9117
2015-03-10,71.47,71.81,70.18,70.42,1356500,68.0039
2015-03-09,71.90,72.40,71.02,71.47,1253300,69.0179
2015-03-06,71.14,73.73,71.11,71.97,2296500,69.5008
2015-03-05,70.00,72.07,69.82,71.37,2374600,68.9214
2015-03-04,68.40,69.24,68.40,69.00,1260300,66.6327
