Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,133.75,133.75,133.75,133.75,000,130.61
2015-12-30,135.45,135.45,133.55,133.75,490400,130.61
2015-12-29,134.40,135.40,133.10,135.35,743800,132.17
2015-12-28,135.30,135.90,133.00,133.15,618600,130.03
2015-12-25,135.05,135.05,135.05,135.05,000,131.88
2015-12-24,135.05,135.05,135.05,135.05,000,131.88
2015-12-23,133.80,135.10,133.15,135.05,1277300,131.88
2015-12-22,133.05,134.50,131.00,132.10,1073100,129.00
2015-12-21,131.25,134.60,130.15,130.45,1632500,127.39
2015-12-18,129.65,131.85,128.65,130.00,3310300,126.95
2015-12-17,128.05,131.95,128.00,130.85,2153200,127.78
2015-12-16,126.00,126.75,122.60,125.50,1680100,122.55
2015-12-15,124.80,127.90,124.05,125.40,1926000,122.46
2015-12-14,130.00,130.85,123.00,123.25,2531500,120.36
2015-12-11,134.15,134.45,127.40,128.55,1760200,125.53
2015-12-10,133.75,136.65,128.45,133.25,2945100,130.12
2015-12-09,124.50,134.25,122.30,131.75,3719300,128.66
2015-12-08,127.60,128.00,121.00,124.05,1719600,121.14
2015-12-07,128.50,129.45,126.75,127.10,1121700,124.12
2015-12-04,127.95,130.10,126.10,126.90,1625800,123.92
2015-12-03,127.05,131.55,125.25,125.65,2527900,122.70
2015-12-02,129.75,129.80,123.30,126.95,2832900,123.97
2015-12-01,133.00,135.25,125.10,130.15,3983700,127.10
2015-11-30,124.55,131.55,122.45,131.55,4267100,128.46
2015-11-27,124.50,125.10,121.05,123.85,2158400,120.94
2015-11-26,125.45,126.55,123.35,124.60,3518000,121.68
2015-11-25,117.40,120.80,116.30,120.35,2883500,117.53
2015-11-24,112.00,117.00,111.65,115.90,4137800,113.18
2015-11-23,106.45,109.90,104.25,109.90,2963000,107.32
2015-11-20,106.00,108.80,105.65,108.45,1877100,105.90
2015-11-19,102.95,106.20,102.70,105.85,1885200,103.37
2015-11-18,98.70,102.10,98.37,101.40,1513400,99.02
2015-11-17,98.60,99.97,97.63,98.64,1363600,96.33
2015-11-16,96.05,99.01,96.02,97.46,1379000,95.17
2015-11-13,95.20,98.70,94.61,96.35,1708700,94.09
2015-11-12,96.40,96.87,94.55,95.39,1257700,93.15
2015-11-11,95.85,97.33,95.61,96.17,1138500,93.91
2015-11-10,96.49,96.85,94.82,95.58,1533600,93.34
2015-11-09,98.00,98.00,96.00,96.00,1775900,93.75
2015-11-06,97.50,98.25,96.55,97.18,2431600,94.90
2015-11-05,100.30,100.65,95.71,97.50,4026100,95.21
2015-11-04,102.00,104.10,99.12,100.45,5389200,98.09
2015-11-03,108.00,111.00,107.00,111.00,1846600,108.40
2015-11-02,109.00,113.30,108.50,112.70,1468700,110.06
2015-10-30,109.10,109.70,108.00,109.30,994900,106.73
2015-10-29,110.00,110.25,107.05,108.40,1563100,105.86
2015-10-28,105.50,109.95,102.65,109.35,2428300,106.78
2015-10-27,107.00,107.10,104.35,105.15,918600,102.68
2015-10-26,108.00,108.20,106.30,107.00,792400,104.49
2015-10-23,105.30,108.05,104.05,107.70,1645800,105.17
2015-10-22,100.50,103.85,99.68,103.80,1677000,101.36
2015-10-21,99.38,100.75,98.03,100.40,1352400,98.04
2015-10-20,99.10,100.20,97.90,98.70,1232500,96.38
2015-10-19,100.25,101.15,97.53,99.19,1893600,96.86
2015-10-16,103.50,103.75,100.10,100.60,1842100,98.24
2015-10-15,107.75,108.75,101.65,102.80,2122700,100.39
2015-10-14,105.30,110.00,104.00,106.60,2320700,104.10
2015-10-13,108.60,108.90,103.80,106.30,1883600,103.81
2015-10-12,106.60,108.90,106.05,108.55,1891400,106.00
2015-10-09,105.95,107.70,102.95,106.60,2977600,104.10
2015-10-08,105.00,110.75,102.40,103.50,3735300,101.07
2015-10-07,99.00,107.85,98.66,104.00,4079300,101.56
2015-10-06,93.90,98.11,90.75,97.09,3258200,94.81
2015-10-05,92.00,95.00,86.36,93.52,4019000,91.33
2015-10-02,96.84,97.51,90.70,92.36,4299500,90.19
2015-10-01,100.80,103.25,95.28,96.50,3846000,94.24
2015-09-30,100.70,101.60,95.60,97.75,3759400,95.46
2015-09-29,96.90,101.45,94.36,95.20,4578800,92.97
2015-09-28,107.00,107.00,97.35,99.30,5577300,96.97
2015-09-25,116.55,117.00,105.00,107.30,4917100,104.78
2015-09-24,116.60,120.30,111.15,112.15,7305200,109.52
2015-09-23,105.00,117.00,95.51,111.50,11570500,108.88
2015-09-22,131.20,131.60,101.35,106.00,14197300,103.51
2015-09-21,139.95,142.90,125.40,132.20,13754400,129.10
2015-09-18,167.05,167.30,161.65,162.40,3230700,158.59
2015-09-17,169.50,170.55,167.80,167.80,1192900,163.86
